,saleprice,sqfttotliving,yrbuilt,yrrenovated,bedrooms,zipcode,sqfttotbasement,sqftfinbasement,sqftopenporch,sqftenclosedporch,sqftdeck,heatsystem,bathhalfcount,bath3qtrcount,bathfullcount,condition,sqftgarageattached,bldggrade,finbasementgrade,inadequateparking,township,trafficnoise
128,834000,1440,1930,0,4,98107,700,0,140,0,0,5,0,0,1,3,0,7,0,2,25,3
129,718000,1040,1984,0,3,98033,0,0,80,0,100,4,0,0,2,3,480,7,0,2,25,3
130,579000,1660,1907,0,2,98106,600,0,110,0,90,1,0,1,1,4,0,6,0,2,24,0
131,906000,2960,1978,0,4,98034,0,0,0,0,180,5,1,1,1,3,420,8,0,2,26,0
132,475000,1900,1991,0,4,98031,0,0,40,0,0,5,1,0,2,3,440,8,0,2,22,0
133,480000,1070,1912,0,2,98126,0,0,80,0,0,5,0,0,1,4,0,6,0,0,24,0
134,350000,1150,1965,0,3,98188,0,0,0,0,0,5,1,0,1,3,460,7,0,2,22,0
135,392000,1750,1984,0,3,98023,0,0,150,0,0,5,1,1,1,4,440,7,0,2,21,0
136,975000,2760,1928,0,3,98118,1170,970,0,0,0,5,0,0,2,5,0,7,7,0,24,1
137,225000,960,1918,0,2,98106,960,0,140,0,0,3,0,0,1,3,0,7,0,0,24,0
138,670000,2620,1949,2014,4,98118,1070,1070,0,0,0,5,1,0,3,3,240,8,7,0,24,0
139,670000,1660,1974,0,3,98033,1060,530,0,0,100,5,0,0,2,3,0,7,6,2,26,0
140,370000,1480,1976,0,3,98031,880,460,0,0,140,5,1,0,1,4,0,7,6,2,22,0
141,356000,1050,1980,0,3,98038,0,0,0,0,0,4,0,0,1,4,220,6,0,2,22,0
142,519950,2090,1989,0,3,98031,1390,700,0,0,130,5,0,0,2,3,490,7,7,2,22,0
143,372000,1400,1955,0,4,98058,0,0,0,80,280,5,0,0,2,5,0,7,0,0,23,1
144,631000,3270,1992,0,4,98003,0,0,0,0,0,5,1,0,2,3,790,10,0,2,21,0
145,538500,1230,1987,0,3,98014,0,0,0,0,100,5,0,0,2,3,500,7,0,2,26,0
146,455000,1500,1905,1984,3,98118,0,0,0,0,160,4,0,0,2,3,0,7,0,0,24,1
147,1280000,4320,1999,0,4,98077,0,0,510,0,390,5,1,0,2,3,740,10,0,2,26,0
148,700000,2070,1948,0,4,98155,0,0,0,0,0,6,1,0,1,3,0,7,0,2,26,0
149,1050000,2330,1943,1992,4,98115,0,0,0,0,470,4,1,1,2,4,0,7,0,2,25,0
150,619000,1280,1998,0,2,98107,320,80,0,0,0,6,1,0,1,3,0,8,8,2,25,0
151,820000,2820,1929,0,3,98115,880,880,0,0,0,5,0,1,2,3,0,8,5,2,25,1
152,782000,2120,1949,0,4,98108,1420,700,0,0,0,5,1,0,1,3,280,7,6,2,24,0
153,899000,1980,1934,0,3,98199,1870,720,0,0,0,1,0,0,2,4,0,7,6,0,25,0
154,478000,1820,1980,0,3,98058,760,430,0,0,200,5,1,1,1,3,200,7,7,0,23,0
155,550000,1520,1947,0,3,98146,0,0,0,0,50,5,0,1,1,3,0,7,0,0,23,0
156,737500,1520,1965,0,3,98033,0,0,0,0,0,4,0,1,1,4,0,7,0,2,25,0
157,960000,1690,1931,0,4,98117,1050,120,0,0,50,7,1,0,1,3,0,8,6,2,25,0
158,445000,1900,2002,0,5,98055,1180,720,0,0,130,5,0,0,3,3,0,7,7,0,23,1
159,840000,3340,2004,0,4,98045,0,0,120,0,140,5,0,0,3,3,770,9,0,2,23,0
160,2400000,3580,2019,0,4,98033,1340,860,50,0,230,5,0,2,2,3,0,9,9,2,25,0
161,895000,3070,1941,0,4,98133,0,0,150,0,0,5,0,1,2,5,380,7,0,2,26,1
162,300000,1000,1977,0,3,98042,0,0,0,0,0,5,0,0,1,4,530,7,0,2,22,0
163,460000,1400,1939,0,3,98108,850,210,0,0,200,5,0,0,1,3,0,7,6,2,24,0
164,1203500,2490,1920,0,4,98102,590,590,290,0,100,5,0,1,2,5,0,7,7,0,25,1
165,485000,1240,1953,0,3,98115,800,360,170,0,0,5,0,0,1,3,0,7,6,0,26,0
166,420000,1900,1998,0,3,98001,0,0,0,0,0,5,1,0,2,4,400,8,0,2,22,0
167,882500,2690,1990,0,4,98074,0,0,40,0,0,5,1,0,2,3,680,9,0,0,25,0
168,428000,1890,1976,0,3,98058,760,500,40,0,0,5,0,1,1,3,200,7,7,0,23,0
169,1853000,2450,1993,0,3,98033,0,0,340,0,0,5,1,0,2,3,630,9,0,2,25,0
170,1280000,3672,1997,0,4,98075,0,0,314,0,0,5,1,0,2,4,828,10,0,2,24,0
171,750000,1360,2019,0,2,98105,430,430,0,0,420,7,0,0,2,3,0,8,8,2,25,0
172,1987000,3770,1968,0,5,98040,1940,1800,0,0,710,7,1,1,2,5,680,10,10,2,24,0
173,1699950,2240,1918,2001,3,98116,1070,0,0,0,240,5,1,0,3,3,0,9,0,2,24,1
174,2198000,3900,2018,0,5,98033,0,0,320,0,0,7,1,2,2,3,690,10,0,2,25,0
175,700000,1890,1991,0,3,98056,0,0,40,0,520,5,1,0,2,4,440,7,0,2,24,0
176,1100000,3720,1990,0,4,98077,0,0,0,0,800,7,1,1,1,4,960,11,0,2,26,0
177,650000,1330,2001,0,3,98107,320,130,0,0,60,5,1,0,2,3,0,8,8,0,25,0
178,505000,2875,1977,0,5,98198,1460,1415,0,0,980,5,1,1,2,4,520,8,8,0,22,0
179,748800,1660,1967,0,4,98008,0,0,0,0,240,5,0,0,2,4,530,7,0,0,25,0
180,550000,770,1922,0,2,98126,770,0,0,0,0,5,0,0,1,3,0,7,0,0,24,0
181,650000,1080,2019,0,3,98122,360,360,0,0,0,7,0,1,1,3,0,8,8,1,25,2
182,697000,2100,1999,0,3,98065,0,0,180,0,0,5,1,1,2,3,0,8,0,0,24,0
183,877000,1790,1969,0,4,98052,1140,590,0,0,260,5,0,1,2,4,100,7,7,2,25,0
184,825000,2410,1989,0,4,98059,0,0,0,0,100,5,1,0,2,3,530,9,0,2,24,0
185,540000,750,1941,0,2,98115,0,0,0,0,0,1,0,0,1,3,0,6,0,0,26,0
186,712575,1230,1938,0,3,98155,0,0,0,0,0,5,0,0,2,3,1130,6,0,2,26,0
187,405000,830,1949,0,2,98146,0,0,0,0,100,1,0,0,1,4,0,6,0,0,23,0
188,658000,2360,1977,0,4,98155,1250,900,0,0,280,5,0,2,1,3,220,8,8,0,26,0
189,615000,1830,1988,0,3,98074,720,380,30,0,400,5,0,2,1,4,190,7,7,0,25,0
190,778000,2600,1958,0,5,98118,1300,1300,190,210,0,5,0,1,1,3,0,7,6,2,24,0
191,432500,1560,2003,0,3,98038,0,0,40,0,0,5,1,1,1,3,420,7,0,0,22,0
192,500000,2180,2012,0,6,98168,0,0,60,0,0,5,0,1,2,3,400,8,0,2,23,0
193,729990,3130,2012,0,4,98038,0,0,130,0,0,5,1,0,2,3,800,9,0,2,22,0
194,1240000,2810,1980,0,4,98006,1640,990,80,0,500,5,0,1,2,4,0,8,7,2,24,1
195,201361,1900,1913,0,4,98144,970,970,110,0,0,5,0,0,2,3,0,6,6,2,24,1
196,492000,1000,2007,0,2,98144,490,160,0,0,0,1,1,0,1,3,0,7,7,2,24,0
